Family;Genus;Species;Species English
Apogonidae;Cheilodipterus;singapurensis;Truncate Cardinalfish
Pomacentridae;Cheiloprion;labiatus;NA
Chaetodontidae;Chelmon;rostratus;Long-Beaked Coralfish
Diodontidae;Chilomycterus;reticulatus;Spotted Burrfish
Pseudochromidae;Chlidichthys;auratus;Golden Dottyback
Labridae-Sc;Chlorurus;bleekeri;Bleeker's Parrotfish
Labridae-Sc;Chlorurus;capistratoides;Indian Parrotfish
Labridae-Sc;Chlorurus;genazonatus;Purplestreak Parrotfish
Labridae-Sc;Chlorurus;gibbus;Heavybeak Parrotfish
Labridae-Sc;Chlorurus;microrhinos;Pacific Steephead Parrotfish
Labridae-Sc;Chlorurus;sordidus;Bullethead Parrotfish
Labridae-Sc;Chlorurus;spilurus;Eastern Bullethead Parrotfish
Labridae-Sc;Chlorurus;strongylocephalus;Steephead Parrotfish
Labridae;Choerodon;anchorago;Anchor Tuskfish
Labridae;Choerodon;schoenleinii;Blackspot Tuskfish
Labridae;Choerodon;typus;NA
Labridae;Choerodon;zosterophorus;Blackblotch Tuskfish
Epinephelidae;Chromileptes;altivelis;Barramundi
Pomacentridae;Chromis;alpha;Yellowspotted Chromis
Pomacentridae;Chromis;analis;Yellow Chromis
Pomacentridae;Chromis;atripectoralis;Black-Axil Chromis
Pomacentridae;Chromis;flavaxilla;Arabian Chromis
Pomacentridae;Chromis;opercularis;Doublebar Chromis
Pomacentridae;Chromis;pembae;Yellow-Edge Chromis
Pomacentridae;Chromis;scotochiloptera;Philippine Chromis
Pomacentridae;Chromis;ternatensis;Ternate Chromis
Pomacentridae;Chromis;trialpha;Trispot Chromis
Pomacentridae;Chromis;viridis;Blue-Green Chromis
Pomacentridae;Chromis;weberi;Weber's Chromis
Pomacentridae;Chromis;xanthochira;Yellow-Axil Chromis
Pomacentridae;Chromis;xanthura;Pail-Tail Chromis
Pomacentridae;Chromis;xouthos;Yellow-Brown Chromis
Pomacentridae;Chrysiptera;annulatus;NA
Pomacentridae;Chrysiptera;arnazae;Arnaz's Damselfish
Pomacentridae;Chrysiptera;biocellata;Twospot Damselfish
Pomacentridae;Chrysiptera;bleekeri;Bleeker's Damselfish
Pomacentridae;Chrysiptera;brownriggii;Surge Damselfish Indian Ocean
Pomacentridae;Chrysiptera;cyanea;Blue Devil
Pomacentridae;Chrysiptera;hemicyanea;Azure Damselfish
Pomacentridae;Chrysiptera;leucopomus;Pacific Surge Damsel
Pomacentridae;Chrysiptera;rollandi;Rolland's Damselfish
Pomacentridae;Chrysiptera;springeri;Springer's Demoiselle
Pomacentridae;Chrysiptera;talboti;Talbot's Demoiselle
Pomacentridae;Chrysiptera;unimaculata;Onespot Damsel
Labridae;Cirrhilabrus;cyanopleura;Bluesided Wrasse
Labridae;Cirrhilabrus;exquisitus;Exquisite Wrasse
Labridae;Cirrhilabrus;lubbocki;Yellowback Wrasse
