Family;Genus;Species;Species English;Bangka;Red Sea;Both;All
Apogonidae;Cheilodipterus;lachneri;Aqaba Cardinalfish;1;1;1;1
Apogonidae;Cheilodipterus;macrodon;Tiger Cardinalfish;1;1;1;1
Apogonidae;Cheilodipterus;nigrotaeniatus;Mimic Cardinalfish;1;0;0;1
Apogonidae;Cheilodipterus;novemstriatus;Indian Ocean Twospot Cardinalfish;1;1;1;1
Apogonidae;Cheilodipterus;persicus;Persian Cardinalfish;1;1;1;1
Apogonidae;Cheilodipterus;pygmaios;Pygmy Cardinalfish;0;1;0;1
Apogonidae;Cheilodipterus;quinquelineatus;Fivelined Cardinalfish;1;1;1;1
Apogonidae;Cheilodipterus;singapurensis;Truncate Cardinalfish;1;0;0;1
Apogonidae;Fibramia;ceramensis;NA;1;0;0;1
Apogonidae;Fibramia;thermalis;Sangi Cardinalfish;1;0;0;1
Apogonidae;Foa;fo;Weedy Cardinalfish;1;1;1;1
Apogonidae;Fowleria;aurita;Crosseyed cardinalfish;0;1;0;1
Apogonidae;Fowleria;vaiulae;Mottled Cardinalfish;1;0;0;1
Apogonidae;Nectamia;annularis;Ringtail Cardinalfish;1;1;1;1
Apogonidae;Nectamia;fusca;Ghost Cardinalfish;1;1;1;1
Apogonidae;Nectamia;savayensis;Samoan Cardinalfish;1;0;0;1
Apogonidae;Nectamia;zebrina;Zebra Cardinalfish;1;1;1;1
Apogonidae;Ostorhinchus;angustatus;Broadstripe Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;apogonoides;Goldbelly Cardinalfish;1;1;1;1
Apogonidae;Ostorhinchus;aureus;Ringtailed Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;chrysopomus;Spotted-Gill Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;chrysotaenia;Yellowlined Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;compressus;Blue-eye Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;cookii;Cook's Cardinalfish;0;1;0;1
Apogonidae;Ostorhinchus;cyanosoma;Yellowstriped Cardinalfish;1;1;1;1
Apogonidae;Ostorhinchus;fleurieu;Flower Cardinalfish;1;1;1;1
Apogonidae;Ostorhinchus;griffini;Hookfin Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;hartzfeldii;Hartzfeld's Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;hoevenii;Frostfin Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;lateralis;NA;1;0;0;1
Apogonidae;Ostorhinchus;margaritophorus;Redstriped Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;moluccensis;Moluccan Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;monospilus;Yelloweye Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;multilineatus;Manylined Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;nanus;Tiny Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;neotes;Larval Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;nigrofasciatus;Blackstripe Cardinalfish;1;1;1;1
Apogonidae;Ostorhinchus;novemfasciatus;Sevenstripe Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;parvulus;Redspot Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;pselion;Anklet Cardinalfish;0;1;0;1
Apogonidae;Ostorhinchus;sealei;Cheekbar Cardinalfish;1;0;0;1
Apogonidae;Ostorhinchus;wassinki;Wassink's Cardinalfish;1;0;0;1
Apogonidae;Pristiapogon;exostigma;Oneline Cardinalfish;1;1;1;1
Apogonidae;Pristiapogon;fraenatus;Bridled Cardinalfish;1;1;1;1
Apogonidae;Pristiapogon;kallopterus;Iridescent Cardinalfish;1;1;1;1
Apogonidae;Pristicon;rhodopterus;False Threespot Cardinalfish;1;0;0;1
Apogonidae;Pristicon;trimaculatus;Threespot Cardinafish;1;0;0;1
Apogonidae;Pterapogon;kauderni;Banggai Cardinalfish;1;0;0;1
Apogonidae;Rhabdamia;gracilis;Slender Cardinalfish;1;0;0;1
Apogonidae;Siphamia;tubifer;NA;1;0;0;1
